Arsenal	GKP	Cech	£5.5	88	true	90	2
Arsenal	GKP	Macey	£?	0	false	0	0
Arsenal	GKP	Ospina	£4.9	0	true	1	1
Arsenal	DEF	Bellerín	£5.9	95	true	97	2
Arsenal	DEF	Chambers	£4.8	5	false	5	0
Arsenal	DEF	Debuchy	£?	0	false	0	0
Arsenal	DEF	Holding	£4.7	12	false	12	0
Arsenal	DEF	Kolasinac	£6.0	79	true	80	1
Arsenal	DEF	Koscielny	£6.0	87	true	94	7
Arsenal	DEF	Mavropanos	£?	0	false	0	0
Arsenal	DEF	Mertesacker	£4.9	15	false	15	0
Arsenal	DEF	Monreal	£5.5	109	true	110	1
Arsenal	DEF	Mustafi	£5.4	68	true	73	5
Arsenal	MID	Cazorla	£7.0	0	false	0	0
Arsenal	MID	Coquelin	£4.4	7	false	7	0
Arsenal	MID	Elneny	£4.5	13	false	13	0
Arsenal	MID	Iwobi	£5.1	50	true	55	5
Arsenal	MID	Maitland-Niles	£4.5	16	false	16	0
Arsenal	MID	Mkhitaryan	£?	58	true	71	13
Arsenal	MID	Nelson	£4.9	1	false	1	0
Arsenal	MID	Ramsey	£7.1	84	true	104	20
Arsenal	MID	Sánchez	£11.9	97	false	97	0
Arsenal	MID	Walcott	£7.2	6	false	6	0
Arsenal	MID	Wilshere	£5.4	32	true	33	1
Arsenal	MID	Xhaka	£5.5	76	true	78	2
Arsenal	MID	Özil	£9.4	91	true	93	2
Arsenal	FWD	Aubameyang	£?	0	true	6	6
Arsenal	FWD	Giroud	£8.3	37	false	37	0
Arsenal	FWD	Lacazette	£10.4	98	false	98	0
Arsenal	FWD	Nketiah	�?	0	false	0	0
Arsenal	FWD	Welbeck	£7.5	40	false	40	0
Bournemouth	GKP	Begovic	£4.5	83	false	83	0
Bournemouth	GKP	Boruc	£4.3	0	false	0	0
Bournemouth	GKP	Federici	£4.0	0	false	0	0
Bournemouth	GKP	Ramsdale	£4.0	0	false	0	0
Bournemouth	DEF	Adam Smith	£4.8	43	false	43	0
Bournemouth	DEF	Aké	£4.9	79	false	79	0
Bournemouth	DEF	Brad Smith	£4.0	0	false	0	0
Bournemouth	DEF	Daniels	£4.9	70	false	70	0
Bournemouth	DEF	Francis	£4.4	39	false	39	0
Bournemouth	DEF	Mings	£4.4	0	false	0	0
Bournemouth	DEF	Simpson	£?	1	false	1	0
Bournemouth	DEF	Steve Cook	£4.9	61	false	61	0
Bournemouth	MID	Arter	£4.9	27	false	27	0
Bournemouth	MID	Butcher	£?	0	false	0	0
Bournemouth	MID	Fraser	£5.3	62	false	62	0
Bournemouth	MID	Gosling	£4.9	35	false	35	0
Bournemouth	MID	Hyndman	�?	0	false	0	0
Bournemouth	MID	Ibe	£4.9	63	true	66	3
Bournemouth	MID	Lewis Cook	£4.4	34	false	34	0
Bournemouth	MID	Mahoney	�?	0	false	0	0
Bournemouth	MID	Pugh	£4.8	25	true	26	1
Bournemouth	MID	Stanislas	£5.9	46	false	46	0
Bournemouth	MID	Surman	£4.6	66	false	66	0
Bournemouth	MID	Taylor	£?	0	false	0	0
Bournemouth	FWD	Afobe	£5.7	24	false	24	0
Bournemouth	FWD	Callum Wilson	£5.9	28	false	28	0
Bournemouth	FWD	Defoe	£7.8	41	false	41	0
Bournemouth	FWD	King	£7.2	59	true	60	1
Bournemouth	FWD	Mousset	£4.9	13	true	20	7
Bournemouth	FWD	Wilson	�?	73	false	73	0
Brighton	GKP	Krul	£4.0	0	false	0	0
Brighton	GKP	Mäenpää	£4.0	0	false	0	0
Brighton	GKP	Ryan	£4.5	94	false	94	0
Brighton	DEF	Bong	£4.4	38	false	38	0
Brighton	DEF	Bruno	£4.5	65	false	65	0
Brighton	DEF	Duffy	£4.5	71	false	71	0
Brighton	DEF	Dunk	£4.4	63	false	63	0
Brighton	DEF	Goldson	£4.0	5	false	5	0
Brighton	DEF	Hünemeier	£3.9	1	false	1	0
Brighton	DEF	Rosenior	£4.0	3	false	3	0
Brighton	DEF	Schelotto	£4.5	10	false	10	0
Brighton	DEF	Suttner	£4.4	37	false	37	0
